 precio ,col,muni,cord,lat,long,terr,const,cuart,sanit,piso
" $5,200,000.00 ",Puerta de Hierro,"Monterrey
      ","25.7495340989, -100.4188543563",25.7495341,-100.4188544,,220,3,2,
" $4,500,000.00 ",Centrika del Lago,"Monterrey
      ","25.696463, -100.306557",25.696463,-100.306557,,149,3,2,
" $5,800,000.00 ",Cumbre Allegro,"Monterrey
      ","25.745937, -100.427162",25.745937,-100.427162,,266,3,4,
" $4,280,000.00 ",Katavia Residencial,"Apodaca
      ","25.7998735, -100.1915506",25.7998735,-100.1915506,,200,3,3,
" $3,350,000.00 ",An†huac la Pergola,"General Escobedo
      ","25.7880837, -100.2776169",25.7880837,-100.2776169,,137,3,2,
" $7,300,000.00 ",Altares Residencial,"Santiago
      ","25.4584296, -100.1645261",25.4584296,-100.1645261,,264,3,4,
" $12,500,000.00 ",Lomas del Roble,San Nicol†s de los Garza,"25.7419044, -100.3190362",25.7419044,-100.3190362,,416,3,3,
" $17,500,000.00 ",Rinconada Colonial,"Apodaca
      ","25.8018259, -100.196942",25.8018259,-100.196942,,560,3,3,
" $14,900,000.00 ",El Uro,"Monterrey
      ","25.5553563, -100.2323261",25.5553563,-100.2323261,,513,4,4,
" $30,000,000.00 ",Valle de San µngel,San Pedro Garza Garc°a,"25.6296333, -100.3618095",25.6296333,-100.3618095,,700,3,5,
" $3,300,000.00 ",Altrysa,Garc°a,"25.7637109, -100.4531563",25.7637109,-100.4531563,,160,3,2,
" $11,800,000.00 ",Casta§os del Vergel,"Monterrey
      ","25.5531707, -100.2172797",25.5531707,-100.2172797,,376,3,3,
" $27,900,000.00 ",La Cima 1er Sector,San Pedro Garza Garc°a,"25.6459131, -100.401044",25.6459131,-100.401044,,648,3,5,
" $10,500,000.00 ",Mitras Sur,"Monterrey
      ","25.686499, -100.348312",25.686499,-100.348312,,350,4,4,
" $22,950,000.00 ",Zona Valle Poniente,San Pedro Garza Garc°a,"25.6536883, -100.4112654",25.6536883,-100.4112654,,437,3,3,
" $23,000,000.00 ",Bosques del Valle,San Pedro Garza Garc°a,"25.6442513, -100.3745026",25.6442513,-100.3745026,,310,3,3,
" $3,730,000.00 ",Puerta de Hierro,"Monterrey
      ","25.752288, -100.4172802",25.752288,-100.4172802,,136.6,3,2,
" $4,300,000.00 ",Cima de las Cumbres,"Monterrey
      ","25.7245771, -100.3788379",25.7245771,-100.3788379,,180,3,2,
" $3,600,000.00 ",Tepeyac,"Santa Catarina
      ","25.689999, -100.458237",25.689999,-100.458237,,170,3,2,
" $6,800,000.00 ",Los Fierros,"Santiago
      ","25.3617793836, -100.1052775879",25.36177938,-100.1052776,,372,3,3,
" $4,500,000.00 ",Piedra de Fierro,"Santiago
      ","25.3609143607, -100.1015524794",25.36091436,-100.1015525,,180,3,2,
" $3,100,000.00 ",Rivera San Nicol†s,San Nicol†s de los Garza,"25.757029, -100.277328",25.757029,-100.277328,,215,1,3,
" $16,950,000.00 ",Roma,"Monterrey
      ","25.6538647, -100.2985337",25.6538647,-100.2985337,,648,3,4,
" $8,640,000.00 ",Altares Residencial,"Santiago
      ","25.4579384, -100.1634215",25.4579384,-100.1634215,,225,3,3,
" $8,640,000.00 ",Altares Residencial,"Santiago
      ","25.4579384, -100.1634215",25.4579384,-100.1634215,,315,NaN,3,
" $6,100,000.00 ",Valle de La Sierra,"Santa Catarina
      ","25.668186, -100.437889",25.668186,-100.437889,,208,3,3,
" $3,000,000.00 ",Hacienda Santa Clara,"Monterrey
      ","25.737188, -100.383842",25.737188,-100.383842,,81,3,1,
" $6,800,000.00 ",Valle del Mirador,"Monterrey
      ","25.640253, -100.314865",25.640253,-100.314865,,165,2,1,
" $10,950,000.00 ",Casta§os del Vergel,"Monterrey
      ","25.5519440893, -100.2199262993",25.55194409,-100.2199263,,335,3,3,
" $27,900,000.00 ",Bosques de San µngel Sector Palmillas,San Pedro Garza Garc°a,"25.6261975, -100.3831539",25.6261975,-100.3831539,,900,4,5,
" $19,800,000.00 ",Colinas de La Sierra Madre,San Pedro Garza Garc°a,"25.6362978, -100.3791469",25.6362978,-100.3791469,,395,3,3,
" $16,790,000.00 ",Zona Mirasierra,San Pedro Garza Garc°a,"25.655348, -100.393404",25.655348,-100.393404,,300,3,4,
" $4,550,000.00 ",Residencial Privada las Plazas,"Guadalupe
      ","25.680401, -100.183388",25.680401,-100.183388,,207,3,3,
" $5,500,000.00 ",Dominio Cumbres,Garc°a,"25.7573780055, -100.4689440806",25.75737801,-100.4689441,,293,3,4,
" $12,000,000.00 ",Contry la Silla,"Guadalupe
      ","25.633163, -100.267487",25.633163,-100.267487,,466,3,2,
" $54,982,000.00 ",Loma Blanca,San Pedro Garza Garc°a,"25.6342857, -100.3666103",25.6342857,-100.3666103,,523,4,5,
" $31,000,000.00 ",Residencial Cordillera,"Santa Catarina
      ","25.6533512, -100.440746",25.6533512,-100.440746,,600,3,3,
" $2,000,000.00 ",Mirador de las Mitras,"Monterrey
      ","25.745377, -100.388657",25.745377,-100.388657,,140,3,1,
" $7,290,000.00 ",Altares Residencial,"Santiago
      ","25.4585822, -100.1656866",25.4585822,-100.1656866,,267,3,3,
" $6,200,000.00 ",Rinc¢n de la Primavera,"Guadalupe
      ","25.644619, -100.270882",25.644619,-100.270882,,173,4,2,
" $18,350,000.00 ",Privanzas 5 Sector,"Monterrey
      ","25.6385968, -100.3213524",25.6385968,-100.3213524,,382,3,4,
